trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.76706E+18,['Group 1'],maps/g3/baseball.json,[25],[9],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[3],[0],[0],['Group 1'],"[('Group 1', 231.61072897911072)]","{0: [(397.668101405837, 287.482033156726), (397.43491154642, 307.130236472398), (397.43491154642, 307.130236472398), (397.43491154642, 307.130236472398), (396.991910992178, 495.883911899256), (397.84664240179, 636.56667620726), (395.274788462259, 861.69034644303), (400.866894251882, 898.792738501156), (401.426104830845, 902.502977706969)]}","{0: [(397.43491154642, 307.130236472398), (397.43491154642, 307.130236472398), (397.43491154642, 307.130236472398), (397.43491154642, 307.130236472398), (396.9476105,15245879372568466867,['Group 1'],maps/g3/baseball.json,[25],[7],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[1],[0],[0],['Group 1'],"[('Group 1', 308.89359164237976)]","{0: 5,17258786939314930969,['Group 1'],maps/g3/baseball.json,[25],[9],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[2],[0],[0],['Group 1'],"[('Group 1', 296.6680164337158)]","{0: [(400.0, 91.0), (400.0, 91.0), (398.941928331842, 296.549892759006), (400.909661905096, 510.866525128464), (401.910161098881, 653.981846266691), (400.784914379973, 886.623307423759), (401.184243154595, 900.020728128606), (401.224176032057, 901.360470199091), (400.08373266144, 900.030362353291)]}","{0: [(400.0, 91.0), (400.0, 91.0), (398.836121165027, 317.10481,6252871684464778823,['Group 1'],maps/g3/baseball.json,[50],[6],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 343.5729925632477)]","{0: [(402.139979336589, 322.975490991935), (400.307679822704, 5091,17218427035701608488,['Group 1'],maps/g3/baseball.json,[50],[6],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 344.62822222709656)]","{0: [(397.334160944433, 331.639939867244), (399.953575990488, 511.278660872744), (401.739745237111, 641.650003656469), (401.323912527919, 879.979570967854), (399.445708166897, 900.337363262108), (399.257887730795, 902.373142491534)]}","{0: [(397.067577038877, 355.703933853969), (400.242175885649, 526.836133574621), (401.889502172257, 653.131390664654), (401.323912527919, 879.979570967854), (399.257887730795, 902.373142491534), (400.0141996733172, 900.0045340472105)]}"
2,1.60124E+18,['Group 1'],maps/g3/baseball.json,[50],[6],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 350.5834639072418)]","{0: [(400.152485432094, 326.285505105576), (400.333407421883, 512.43127145724), (400.550013978844, 641.150334559156), (397.189488567946, 903.935811094452), (400.016910307701, 901.432407930444), (400.333457774998, 898.666670190208)]}","{0: [(400.167733975303, 349.814055616134), (400.349974766541, 528.69299304135), (400.570017900075, 652.396068710937), (396.851435634733, 929.089785332803), (400.333457774998, 898.666670190208), (399.9969459816166, 899.9992287669592)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.40594E+17,['Group 1'],maps/g3/baseball.json,[50],[6],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 317.0398609638214)]","{0: [(403.978779745167, 329.945948143564), (400.174569799579, 503.201290431244), (400.225684019411, 633.184350836257), (400.280877148341, 880.866700765734)4,3721106012441927422,['Group 1'],maps/g3/baseball.json,[50],[7],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[1],[0],[0],['Group 1'],"[('Group 1', 299.1052749156952)]","{0: [(397.123297170105, 323.913195748332), (399.992927563441, 497.827737433089), (400.308657631074, 512.890059644081), (400.118991897752, 4,1562275227645174067,['Group 1'],maps/g3/baseball.json,[50],[7],['S'],[0.0],809.0,[400.0"," 91.0]""","[400.0, 900.0]",[1],[0],[0],['Group 1'],"[('Group 1', 338.9290590286255)]","{0: [(400.0, 91.0), (401.371459007754, 334.20482212956), (399.598424430529, 512.076371785126), (399.882682720217, 637.851328984953), (398.938978793505, 891.742210478115), (398.839855637459, 916.027100122876), (399.901964188046, 899.882860862939)]}","{0: [(400.0, 91.0), (401.50860490853, 358.525304342516), (399.407406382729, 527.431478529387), (399.930210353966, 648.893314030509), (398.839855637459, 916.027100122876), (399.901964188046, 899.882860862939), (400.00101590585115, 899.9991345659676)]}",,,,,,,,,,,,,,,,,,
5,1.50044E+19,['Group 1'],maps/g3/baseball.json,[50],[6],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 285.5273058414459)]","{0: [(403.955204896627, 322.167475619548), (398.197022884754, 497.611947588823), (399.217024224765, 627.125521852774), (397.432209515972, 873.506320280998), (399.620410405706, 898.713041255824), (399.839230494679, 901.233713353306)]}","{0: [(404.35072538629, 345.284223181503), (397.5816526346, 512.844720029555), (399.380561383782, 638.553602035096), (397.432209515972, 873.506320280998), (399.839230494679, 901.233713353306), (399.9807701358987, 899.9977977557118)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.25408E+19,['Group 1'],maps/g3/baseball.json,[100],[5],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 18.19760513305664)]","{0: [(400.587040475551, 388.157999432436), (398.965245436866, 638.244377878949), (399.986864737758, 888.718982431972), (399.902652831577, 900.027000317328), (399.894231640959, 901.157802105863)]}","{0: [(400.645744523106, 417.87379937568), (398.797195528242, 660.281435729276), (399.986864737758, 888.718982431972), (399.894231640959, 901.157802105863), (400.01394905791136, 900.0014441420687)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.63592E+18,['Group 1'],maps/g3/baseball.json,[100],[5],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 18.0887393951416)]","{0: [(399.064698609023, 390.469877306972), (400.734127692724, 638.282788373918), (397.875178223641, 887.026140132593), (399.880895771462, 900.262045749437), (400.081467526244, 901.585636311122)]}","{0: [(398.971168469925, 420.416865037669), (400.910423615004, 660.069380707543), (397.875178223641, 887.026140132593), (400.081467526244, 901.585636311122), (399.9943201613331, 900.0003122282556)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.15337E+18,['Group 1'],maps/g3/baseball.json,[100],[5],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 18.170011043548584)]","{0: [(399.458098345412, 386.928358211676), (400.028301150907, 638.16013331543), (398.863981285667, 889.86490241535), (400.066023351047, 899.899092257507), (400.186227557585, 900.902511241723)]}","{0: [(399.403908179953, 416.521194032844), (400.090740448002, 660.324027243688), (398.863981285667, 889.86490241535), (400.186227557585, 900.902511241723), (399.9913262606175, 900.001877036254)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.56797E+19,['Group 1'],maps/g3/baseball.json,[100],[5],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 18.274250268936157)]","{0: [(399.677627563006, 385.177882257916), (400.062612889661, 639.881507784558), (399.440550459739, 889.597722006545), (399.824711492751, 900.174081824429), (399.863127596052, 901.231717806217)]}","{0: [(399.645390319307, 414.595670483708), (400.104335146696, 662.410091514643), (399.440550459739, 889.597722006545), (399.863127596052, 901.231717806217), (399.99721031983273, 899.9996963949555)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.84608E+18,['Group 1'],maps/g3/baseball.json,[100],[5],['S'],[0.0],809,"[400.0, 91.0]","[400.0, 900.0]",[0],[0],[0],['Group 1'],"[('Group 1', 17.637613773345947)]","{0: [(399.118206606273, 385.395637862346), (398.175711,6667209926861853255,['Group 1'],maps/g4/jump.json,[10],[10],['F'],[397.10792917829775],477.97004349308787,[148.164184570313"," 324.510131835937]""","[614.890869140625, 427.571105957031]",[0],[1],[0],[],"[('Group 1', 600.786957025528)]","{0: [(191.252577432067, 300.166264598337), (235.216903738062, 298.858685545496)]}","{0: [(195.561416718241,1213735104135932787,['Group 1'],maps/g4/jump.json,[10],[10],['F'],[388.63422667070694],477.97004349308787,[148.164184570313"," 324.510131835937]""","[614.890869140625, 427.571105957031]",[0],[1],[0],[],"[('Group 1', 600.2137591838837)]","{0: [(201.619017462741, 299.093474627848), (244.227223251978, 299.262801314462)]}","{0: [(206.964500751984, 296.551808907039), (247.953495501977, 299.533900555204)]}",,,,,,,,,,,,,,,,,
2,5.19374E+18,['Group 1'],maps/g4/jump.json,[10],[10],['F'],[378.59507334948984],477.9700435,"[148.164184570313, 324.5103,13002656279949790800,['Group 1'],maps/g4/jump.json,[10],[10],['F'],[411.99330432711133],477.97004349308787,[148.164184570313"," 324.510131835937]""","[614.890869140625, 427.571105957031]",[0],[1],[0],[],"[('Group 1', 600.8303599357605)]","{0: [(194.399999056177, 297.165193331376), (220.93194729129, 299.558340833288)]}","{0: [(199.023580504763, 294.43069948092), (223.122783969943, 300.071104968525)]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
